soil_moisture,humidity,temperature,crop_type,irrigation_needed,water_required
15.9,58.2,36.1,cotton,1,24.2
20.5,66.3,20.5,rice,1,39.1
46.8,78.4,21.0,corn,0,0.0
12.3,27.5,30.0,corn,1,45.3
16.6,95.2,36.2,rice,1,46.7
36.6,76.2,18.9,corn,0,0.0
12.0,71.1,19.8,rice,1,55.9
43.3,50.9,31.8,soybean,0,0.0
15.6,100.0,26.2,soybean,1,32.8
53.3,60.4,22.3,cotton,0,0.0
27.0,69.9,31.0,corn,1,15.9
22.6,97.0,21.2,corn,1,24.9
37.5,93.0,21.1,soybean,0,0.0
13.2,87.5,31.8,cotton,1,29.6
28.3,40.7,23.7,soybean,0,7.4
32.6,48.0,18.1,wheat,0,0.0
49.5,37.8,42.6,cotton,0,0.0
53.6,80.8,27.4,wheat,0,0.0
24.9,45.1,32.5,rice,1,30.3
10.6,96.9,38.8,rice,1,58.8
54.8,78.5,24.2,wheat,0,0.0
53.2,92.4,29.1,wheat,0,0.0
42.6,55.0,36.7,rice,0,0.0
46.5,73.6,15.1,soybean,0,0.0
19.3,69.8,20.9,cotton,1,17.5
14.3,54.0,42.2,cotton,1,27.3
36.2,65.3,42.9,cotton,0,0.0
18.5,71.8,32.0,wheat,1,23.0
48.1,83.4,15.1,corn,0,0.0
52.1,55.5,34.3,wheat,0,0.0
57.9,37.2,38.4,wheat,0,0.0
18.8,57.9,36.4,cotton,1,18.3
15.5,45.5,30.9,cotton,1,24.9
41.6,58.8,26.5,soybean,0,0.0
41.5,64.9,35.9,wheat,0,0.0
57.8,88.8,18.1,wheat,0,0.0
18.5,54.0,19.3,cotton,1,19.0
22.5,93.2,41.8,corn,1,25.0
51.2,57.9,29.5,wheat,0,0.0
39.5,90.1,30.3,rice,0,0.9
31.4,73.2,15.5,rice,1,17.2
39.4,57.7,32.0,soybean,0,0.0
41.8,48.1,29.3,corn,0,0.0
12.9,42.7,27.8,soybean,1,38.3
23.6,86.8,27.0,rice,1,32.8
23.6,94.4,32.4,rice,1,32.8
51.6,39.3,15.0,rice,0,0.0
24.2,35.6,22.8,wheat,1,11.7
37.6,63.1,16.2,corn,0,0.0
58.5,59.2,43.2,wheat,0,0.0
55.7,58.0,25.2,cotton,0,0.0
24.9,65.6,26.9,cotton,0,6.2
30.5,99.0,39.7,cotton,0,0.0
34.3,74.3,36.0,rice,1,11.5
37.7,41.7,39.0,rice,1,4.7
46.7,70.0,28.1,cotton,0,0.0
30.5,55.1,40.6,wheat,0,0.0
42.3,85.1,16.9,corn,0,0.0
31.4,49.4,30.2,wheat,0,0.0
31.9,32.7,38.5,corn,1,6.1
51.8,38.3,17.0,cotton,0,0.0
54.5,84.0,18.4,cotton,0,0.0
20.3,85.6,23.9,corn,1,29.4
54.0,71.9,19.5,wheat,0,0.0
11.9,62.5,43.3,soybean,1,40.1
58.8,34.3,27.5,soybean,0,0.0
19.2,26.1,41.3,soybean,1,25.6
52.4,22.4,36.8,cotton,0,0.0
31.4,43.7,31.1,soybean,1,1.1
22.4,20.1,25.9,cotton,1,11.2
12.2,92.8,23.4,soybean,1,39.6
33.4,99.5,27.5,cotton,0,0.0
35.9,46.9,39.9,rice,1,8.2
23.0,80.9,20.6,soybean,1,18.1
11.1,23.0,41.4,cotton,1,33.7
10.6,48.0,33.3,soybean,1,42.9
32.8,38.6,17.4,soybean,0,0.0
12.2,65.3,43.3,rice,1,55.6
45.3,73.5,28.2,wheat,0,0.0
44.9,77.0,18.9,cotton,0,0.0
38.2,50.2,38.8,wheat,0,0.0
20.8,21.9,36.0,wheat,1,18.5
48.0,35.5,42.6,cotton,0,0.0
58.5,36.0,24.7,wheat,0,0.0
54.4,53.3,26.9,soybean,0,0.0
57.2,95.8,37.0,corn,0,0.0
11.5,41.6,28.2,corn,1,47.0
18.1,40.2,37.3,wheat,1,23.9
28.7,57.4,23.1,soybean,0,6.6
50.7,63.4,37.5,soybean,0,0.0
53.8,81.2,43.4,cotton,0,0.0
10.5,32.3,24.1,rice,1,59.0
59.3,82.0,22.9,wheat,0,0.0
27.8,21.0,25.5,corn,1,14.4
24.8,20.7,30.9,soybean,1,14.3
40.7,65.3,18.3,wheat,0,0.0
34.5,46.1,24.6,cotton,0,0.0
46.3,26.2,29.0,soybean,0,0.0
35.7,77.4,41.7,wheat,0,0.0
27.6,43.3,15.9,rice,1,24.8
51.3,77.6,29.4,rice,0,0.0
15.4,51.0,36.1,cotton,1,25.2
33.2,70.7,40.0,soybean,0,0.0
23.5,56.3,20.1,rice,1,33.1
51.7,31.1,30.1,wheat,0,0.0
23.3,91.5,38.3,soybean,1,17.3
46.8,41.3,37.8,wheat,0,0.0
16.6,24.9,15.6,wheat,1,26.8
57.2,53.5,23.8,corn,0,0.0
18.7,24.7,27.4,corn,1,32.6
22.6,73.5,18.1,soybean,1,18.8
20.2,52.7,37.2,rice,1,39.6
29.6,89.7,26.7,rice,1,20.8
40.5,67.8,24.2,wheat,0,0.0
33.8,54.5,26.3,rice,1,12.4
54.2,92.1,21.6,rice,0,0.0
44.3,28.1,20.8,rice,0,0.0
17.5,78.7,44.5,rice,1,44.9
10.1,24.2,23.4,soybean,1,43.7
54.9,95.7,23.8,soybean,0,0.0
18.6,57.8,37.8,soybean,1,26.9
48.2,71.4,24.5,corn,0,0.0
19.6,36.6,22.2,cotton,1,16.8
25.9,61.6,42.4,corn,1,18.3
29.5,95.3,36.8,wheat,0,1.0
18.8,84.4,37.5,cotton,1,18.4
38.2,50.9,26.6,corn,0,0.0
20.5,89.2,41.7,cotton,1,15.1
23.1,87.6,37.1,soybean,1,17.9
31.8,53.1,25.9,rice,1,16.4
39.1,54.9,33.4,soybean,0,0.0
15.9,99.5,22.2,corn,1,38.2
33.1,68.0,29.8,corn,0,3.7
28.5,85.4,19.9,corn,1,13.0
44.5,64.9,25.8,cotton,0,0.0
12.9,94.7,25.1,soybean,1,38.2
41.8,95.7,43.2,wheat,0,0.0
36.7,90.4,32.1,wheat,0,0.0
15.3,88.9,22.2,soybean,1,33.4
58.9,68.4,24.0,rice,0,0.0
38.3,81.1,28.7,cotton,0,0.0
49.8,46.2,18.9,wheat,0,0.0
47.2,73.9,30.4,soybean,0,0.0
52.2,25.9,24.7,cotton,0,0.0
14.3,98.3,38.2,cotton,1,27.4
57.4,49.9,28.1,corn,0,0.0
53.7,40.9,26.4,soybean,0,0.0
41.8,91.5,32.3,corn,0,0.0
32.5,60.1,23.8,soybean,0,0.0
14.6,63.3,33.6,corn,1,40.8
21.6,77.2,30.5,cotton,1,12.8
32.9,88.8,17.9,rice,1,14.1
41.4,54.1,15.6,wheat,0,0.0
18.2,83.5,37.6,wheat,1,23.5
34.9,55.4,21.6,corn,0,0.2
14.8,35.5,44.8,cotton,1,26.4
47.1,73.2,35.6,corn,0,0.0
29.3,63.6,30.4,corn,1,11.4
56.8,58.7,15.8,rice,0,0.0
20.9,68.8,16.8,corn,1,28.2
20.4,43.7,16.6,corn,1,29.2
21.9,33.3,45.0,soybean,1,20.2
41.1,99.9,21.3,soybean,0,0.0
52.4,54.9,44.5,wheat,0,0.0
35.7,30.4,34.5,wheat,0,0.0
44.3,89.0,23.8,rice,0,0.0
20.9,42.0,33.2,cotton,1,14.2
12.8,59.2,34.7,wheat,1,34.4
54.5,82.3,23.5,rice,0,0.0
31.5,99.0,24.4,wheat,0,0.0
21.0,79.8,18.6,wheat,1,18.1
26.6,79.8,28.1,cotton,0,2.8
16.9,90.0,29.6,cotton,1,22.2
50.2,69.8,21.4,soybean,0,0.0
54.8,99.3,29.9,wheat,0,0.0
18.9,41.4,29.2,corn,1,32.2
52.2,82.3,27.7,corn,0,0.0
54.2,45.4,19.4,corn,0,0.0
14.3,30.9,18.8,corn,1,41.3
25.4,100.0,18.9,rice,1,29.1
42.2,41.7,41.2,cotton,0,0.0
41.7,90.2,31.2,wheat,0,0.0
40.1,89.3,39.7,rice,0,0.0
13.3,62.3,19.6,corn,1,43.5
40.8,62.1,30.6,rice,0,0.0
40.5,96.5,36.8,corn,0,0.0
30.9,36.2,34.5,rice,1,18.2
57.5,60.3,18.0,soybean,0,0.0
16.1,79.6,42.1,corn,1,37.9
20.3,51.7,27.7,rice,1,39.4
32.7,35.0,17.1,soybean,0,0.0
40.5,71.0,38.7,soybean,0,0.0
44.2,42.4,33.7,corn,0,0.0
41.8,59.5,16.6,corn,0,0.0
15.6,43.4,21.5,corn,1,38.7
23.8,27.7,34.7,soybean,1,16.4
39.7,79.1,37.1,rice,0,0.7
30.8,63.4,16.3,rice,1,18.3
13.2,32.0,39.4,wheat,1,33.7
46.2,98.0,17.5,soybean,0,0.0
31.6,74.9,35.7,rice,1,16.8
46.8,27.0,17.6,soybean,0,0.0
59.3,49.9,25.6,wheat,0,0.0
35.9,57.9,27.8,wheat,0,0.0
14.5,48.3,29.2,corn,1,40.9
14.8,25.1,19.3,corn,1,40.4
50.6,63.8,17.6,rice,0,0.0
59.3,73.3,18.8,corn,0,0.0
33.9,64.7,43.0,rice,1,12.1
37.4,31.3,43.4,soybean,0,0.0
30.1,65.3,40.2,soybean,0,3.8
50.2,98.1,30.0,rice,0,0.0
49.6,64.1,28.0,rice,0,0.0
41.8,87.6,36.2,rice,0,0.0
33.2,56.1,32.2,wheat,0,0.0
52.3,77.9,36.0,corn,0,0.0
38.9,78.0,41.4,rice,0,2.3
14.1,89.8,44.7,wheat,1,31.8
59.0,45.0,41.4,cotton,0,0.0
23.0,53.1,31.7,wheat,1,14.1
51.9,75.6,27.0,cotton,0,0.0
35.1,26.3,33.4,corn,0,0.0
17.3,22.4,33.6,soybean,1,29.4
26.9,43.4,35.0,cotton,1,2.2
54.0,29.3,37.9,cotton,0,0.0
23.1,66.1,40.3,rice,1,33.9
31.4,66.6,36.4,cotton,0,0.0
29.6,39.4,15.4,wheat,0,0.7
24.1,52.3,27.0,cotton,0,7.8
48.3,70.7,20.9,soybean,0,0.0
51.1,66.5,18.4,cotton,0,0.0
16.8,32.1,16.1,rice,1,46.5
49.6,44.9,35.3,rice,0,0.0
26.6,59.7,33.5,rice,1,26.8
27.1,22.4,41.7,corn,1,15.7
41.9,74.0,28.2,rice,0,0.0
48.3,80.6,37.6,soybean,0,0.0
48.9,73.5,16.4,wheat,0,0.0
12.8,76.6,30.4,soybean,1,38.5
20.3,78.2,29.4,wheat,1,19.5
48.5,65.5,23.2,cotton,0,0.0
58.4,90.0,36.4,soybean,0,0.0
48.4,93.3,28.5,cotton,0,0.0
15.1,91.8,26.2,wheat,1,29.7
51.5,83.2,30.4,soybean,0,0.0
26.1,69.9,44.5,cotton,0,3.8
56.4,89.3,38.2,corn,0,0.0
23.1,79.7,32.7,corn,1,23.8
12.2,21.9,41.2,corn,1,45.6
12.5,47.7,17.9,corn,1,45.0
58.2,23.2,44.2,corn,0,0.0
45.2,36.8,29.0,soybean,0,0.0
59.3,69.6,37.3,cotton,0,0.0
35.8,46.0,44.5,wheat,0,0.0
42.4,99.6,29.2,cotton,0,0.0
59.3,27.3,19.4,wheat,0,0.0
10.8,63.7,16.4,wheat,1,38.4
35.2,56.4,33.9,soybean,0,0.0
52.1,32.3,42.2,cotton,0,0.0
40.5,29.7,19.6,rice,0,0.0
16.5,98.4,26.3,cotton,1,23.0
41.7,25.0,35.9,soybean,0,0.0
18.5,43.5,26.7,corn,1,33.0
59.6,85.1,16.8,cotton,0,0.0
17.1,61.2,36.7,cotton,1,21.7
41.0,48.2,25.0,wheat,0,0.0
29.9,94.4,17.7,rice,1,20.2
54.6,28.4,36.3,rice,0,0.0
47.7,93.3,38.8,rice,0,0.0
52.3,77.7,18.4,corn,0,0.0
17.2,84.7,42.8,wheat,1,25.6
42.7,30.7,32.0,wheat,0,0.0
37.3,49.3,17.6,cotton,0,0.0
37.8,29.8,16.1,wheat,0,0.0
42.9,53.5,16.5,rice,0,0.0
21.4,98.1,41.9,soybean,1,21.2
58.9,51.5,16.4,corn,0,0.0
13.5,33.0,18.2,rice,1,52.9
51.5,24.5,37.4,cotton,0,0.0
35.9,96.3,15.6,wheat,0,0.0
41.2,24.0,33.3,rice,0,0.0
59.6,77.6,30.2,corn,0,0.0
32.1,86.8,23.9,rice,1,15.7
24.0,50.6,31.9,wheat,1,12.0
40.7,26.9,16.4,wheat,0,0.0
59.7,77.8,43.8,wheat,0,0.0
45.5,79.9,26.7,rice,0,0.0
26.1,27.6,30.9,soybean,1,11.8
40.2,34.0,24.8,corn,0,0.0
29.8,88.0,18.4,soybean,0,4.4
29.9,72.2,21.8,cotton,0,0.0
44.9,21.0,24.4,soybean,0,0.0
49.8,80.4,30.1,corn,0,0.0
33.2,59.3,33.8,soybean,0,0.0
13.4,88.5,41.6,rice,1,53.2
39.0,78.3,33.5,wheat,0,0.0
54.2,40.3,26.9,rice,0,0.0
19.7,57.4,26.5,cotton,1,16.5
45.1,88.6,33.2,soybean,0,0.0
29.5,41.2,29.9,corn,1,11.1
57.1,64.4,44.4,soybean,0,0.0
40.9,85.8,19.6,cotton,0,0.0
23.4,41.6,26.8,cotton,0,9.2
36.5,97.7,30.3,wheat,0,0.0
48.3,55.1,25.9,corn,0,0.0
34.2,35.6,40.5,corn,1,1.7
17.7,61.0,42.5,rice,1,44.7
25.1,64.1,34.8,rice,1,29.9
25.2,77.4,32.9,corn,1,19.5
37.7,30.6,44.1,soybean,0,0.0
49.3,75.3,27.7,corn,0,0.0
40.3,72.3,28.4,cotton,0,0.0
58.2,37.9,23.0,cotton,0,0.0
48.5,64.2,39.4,soybean,0,0.0
49.5,23.2,41.2,wheat,0,0.0
15.4,90.8,32.8,wheat,1,29.3
29.1,74.3,15.5,soybean,0,5.8
36.9,40.9,43.4,cotton,0,0.0
19.5,55.3,32.9,wheat,1,20.9
19.0,88.9,33.1,corn,1,32.0
31.2,44.5,15.2,cotton,0,0.0
25.6,28.7,30.1,cotton,1,4.9
29.6,86.4,18.4,cotton,0,0.0
25.2,33.4,24.5,cotton,0,5.5
35.1,99.8,22.2,corn,0,0.0
25.2,20.5,37.0,rice,1,29.6
21.3,43.5,20.7,cotton,1,13.3
57.0,54.1,37.5,rice,0,0.0
45.2,55.9,29.8,soybean,0,0.0
38.0,29.9,40.1,soybean,0,0.0
41.1,48.2,20.1,rice,0,0.0
43.8,45.9,36.8,soybean,0,0.0
51.5,31.6,28.8,rice,0,0.0
52.4,53.5,30.3,soybean,0,0.0
55.4,39.2,27.1,soybean,0,0.0
19.2,89.9,32.4,wheat,1,21.6
56.9,61.9,31.2,rice,0,0.0
26.4,36.3,31.6,wheat,1,7.3
43.3,85.6,35.5,rice,0,0.0
46.4,32.7,36.8,cotton,0,0.0
39.1,20.7,16.9,rice,0,1.8
59.6,86.1,23.3,cotton,0,0.0
42.4,39.0,34.9,wheat,0,0.0
37.7,62.6,28.5,soybean,0,0.0
41.1,96.0,17.0,corn,0,0.0
10.8,67.0,15.8,rice,1,58.4
47.0,64.6,15.5,rice,0,0.0
52.4,60.3,16.8,cotton,0,0.0
19.8,25.6,41.8,wheat,1,20.3
53.8,68.0,20.0,soybean,0,0.0
52.0,26.3,35.9,rice,0,0.0
50.9,89.2,21.4,corn,0,0.0
26.6,41.1,18.0,rice,1,26.7
55.7,40.7,15.7,soybean,0,0.0
